"No.","Time","Source","Destination","Protocol","Length","HID Data","idProduct","URB transfer type"
"25","0.008707","1.5.2","host","USB","35","0200000200000000","","URB_INTERRUPT"
"27","0.074901","1.5.2","host","USB","35","0200000100000000","","URB_INTERRUPT"
"29","0.082762","1.5.2","host","USB","35","0200000200000000","","URB_INTERRUPT"
"31","0.090890","1.5.2","host","USB","35","0200000300000000","","URB_INTERRUPT"
"33","0.098891","1.5.2","host","USB","35","0200000120000000","","URB_INTERRUPT"
"35","0.106896","1.5.2","host","USB","35","0200000470000000","","URB_INTERRUPT"
"37","0.114881","1.5.2","host","USB","35","0200000370000000","","URB_INTERRUPT"
"39","0.122886","1.5.2","host","USB","35","02000002b0000000","","URB_INTERRUPT"
"41","0.130877","1.5.2","host","USB","35","0200000390000000","","URB_INTERRUPT"
"43","0.138891","1.5.2","host","USB","35","02000001b0000000","","URB_INTERRUPT"
"45","0.146883","1.5.2","host","USB","35","02000001e0000000","","URB_INTERRUPT"
"47","0.154742","1.5.2","host","USB","35","02000000c0000000","","URB_INTERRUPT"
"49","0.162864","1.5.2","host","USB","35","02000000a0000000","","URB_INTERRUPT"
"51","0.170747","1.5.2","host","USB","35","0200000060000000","","URB_INTERRUPT"
"53","0.178855","1.5.2","host","USB","35","0200000030000000","","URB_INTERRUPT"
"55","0.186857","1.5.2","host","USB","35","0200000020000000","","URB_INTERRUPT"
"57","0.194847","1.5.2","host","USB","35","0200000010000000","","URB_INTERRUPT"
"59","0.280871","1.5.2","host","USB","35","020000ff1f000000","","URB_INTERRUPT"
"61","0.296902","1.5.2","host","USB","35","020000ff0f000000","","URB_INTERRUPT"
"63","0.312917","1.5.2","host","USB","35","020000ffffff0000","","URB_INTERRUPT"
"65","0.320878","1.5.2","host","USB","35","020000ffffff0000","","URB_INTERRUPT"
"67","0.328883","1.5.2","host","USB","35","020000ffffff0000","","URB_INTERRUPT"
"69","0.334849","1.5.2","host","USB","35","020000ffffff0000","","URB_INTERRUPT"
"71","0.342883","1.5.2","host","USB","35","020000ffffff0000","","URB_INTERRUPT"
"73","0.350878","1.5.2","host","USB","35","020000ffefff0000","","URB_INTERRUPT"
"75","0.358882","1.5.2","host","USB","35","020000fdefff0000","","URB_INTERRUPT"
"77","0.366886","1.5.2","host","USB","35","020000feefff0000","","URB_INTERRUPT"
"79","0.374884","1.5.2","host","USB","35","020000ffffff0000","","URB_INTERRUPT"
"81","0.382698","1.5.2","host","USB","35","020000fecfff0000","","URB_INTERRUPT"
"83","0.390876","1.5.2","host","USB","35","020000ffffff0000","","URB_INTERRUPT"
"85","0.402903","1.5.2","host","USB","35","020000ffffff0000","","URB_INTERRUPT"
"87","0.524840","1.5.2","host","USB","35","0201000000000000","","URB_INTERRUPT"
"89","0.626744","1.5.2","host","USB","35","0200000000000000","","URB_INTERRUPT"
"91","2.068938","1.5.1","host","USB","35","0000050000000000","","URB_INTERRUPT"
"93","2.196752","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"95","2.484907","1.5.1","host","USB","35","0000120000000000","","URB_INTERRUPT"
"97","2.580896","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"99","2.900916","1.5.1","host","USB","35","0000120000000000","","URB_INTERRUPT"
"101","3.028891","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"103","3.156926","1.5.1","host","USB","35","0000170000000000","","URB_INTERRUPT"
"105","3.260874","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"107","3.820948","1.5.1","host","USB","35","0000060000000000","","URB_INTERRUPT"
"109","3.924909","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"111","4.468872","1.5.1","host","USB","35","0000040000000000","","URB_INTERRUPT"
"113","4.612915","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"115","4.964932","1.5.1","host","USB","35","0000100000000000","","URB_INTERRUPT"
"117","5.068931","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"119","5.516756","1.5.1","host","USB","35","0000130000000000","","URB_INTERRUPT"
"121","5.612773","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"123","6.340932","1.5.1","host","USB","35","0200000000000000","","URB_INTERRUPT"
"125","7.012916","1.5.1","host","USB","35","02002f0000000000","","URB_INTERRUPT"
"127","7.172944","1.5.1","host","USB","35","0200000000000000","","URB_INTERRUPT"
"129","7.364893","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"131","9.988906","1.5.1","host","USB","35","00000b0000000000","","URB_INTERRUPT"
"133","10.116913","1.5.1","host","USB","35","00000b0c00000000","","URB_INTERRUPT"
"135","10.228919","1.5.1","host","USB","35","00000c0000000000","","URB_INTERRUPT"
"137","10.244919","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"139","10.468705","1.5.1","host","USB","35","00001c0000000000","","URB_INTERRUPT"
"141","10.596918","1.5.1","host","USB","35","00001c0400000000","","URB_INTERRUPT"
"143","10.620913","1.5.1","host","USB","35","0000040000000000","","URB_INTERRUPT"
"145","10.700915","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"147","10.924940","1.5.1","host","USB","35","00000b0000000000","","URB_INTERRUPT"
"149","11.084723","1.5.1","host","USB","35","00000b0c00000000","","URB_INTERRUPT"
"151","11.108918","1.5.1","host","USB","35","00000c0000000000","","URB_INTERRUPT"
"153","11.212934","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"155","11.396890","1.5.1","host","USB","35","00001c0000000000","","URB_INTERRUPT"
"157","11.524940","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"159","11.772901","1.5.1","host","USB","35","0000040000000000","","URB_INTERRUPT"
"161","11.868926","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"163","12.628920","1.5.1","host","USB","35","0200000000000000","","URB_INTERRUPT"
"165","12.764756","1.5.1","host","USB","35","02002d0000000000","","URB_INTERRUPT"
"167","12.844902","1.5.1","host","USB","35","00002d0000000000","","URB_INTERRUPT"
"169","12.868940","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"171","13.084914","1.5.1","host","USB","35","00001a0000000000","","URB_INTERRUPT"
"173","13.244906","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"175","13.292709","1.5.1","host","USB","35","00000c0000000000","","URB_INTERRUPT"
"177","13.396934","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"179","13.460923","1.5.1","host","USB","35","0000150000000000","","URB_INTERRUPT"
"181","13.588888","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"183","13.756876","1.5.1","host","USB","35","0000080000000000","","URB_INTERRUPT"
"185","13.868761","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"187","14.116763","1.5.1","host","USB","35","0000160000000000","","URB_INTERRUPT"
"189","14.228897","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"191","14.364912","1.5.1","host","USB","35","00000b0000000000","","URB_INTERRUPT"
"193","14.484931","1.5.1","host","USB","35","00000b0400000000","","URB_INTERRUPT"
"195","14.500923","1.5.1","host","USB","35","0000040000000000","","URB_INTERRUPT"
"197","14.636945","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"199","14.708725","1.5.1","host","USB","35","0000150000000000","","URB_INTERRUPT"
"201","14.860862","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"203","14.980865","1.5.1","host","USB","35","00000e0000000000","","URB_INTERRUPT"
"205","15.100942","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"207","15.628947","1.5.1","host","USB","35","0200000000000000","","URB_INTERRUPT"
"209","15.772932","1.5.1","host","USB","35","02002d0000000000","","URB_INTERRUPT"
"211","15.892939","1.5.1","host","USB","35","00002d0000000000","","URB_INTERRUPT"
"213","15.916946","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"215","16.204919","1.5.1","host","USB","35","00000b0000000000","","URB_INTERRUPT"
"217","16.300764","1.5.1","host","USB","35","00000b0c00000000","","URB_INTERRUPT"
"219","16.388922","1.5.1","host","USB","35","00000c0000000000","","URB_INTERRUPT"
"221","16.452926","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"223","16.564923","1.5.1","host","USB","35","00001c0000000000","","URB_INTERRUPT"
"225","16.708950","1.5.1","host","USB","35","00001c0400000000","","URB_INTERRUPT"
"227","16.724771","1.5.1","host","USB","35","0000040000000000","","URB_INTERRUPT"
"229","16.868931","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"231","17.324914","1.5.1","host","USB","35","0200000000000000","","URB_INTERRUPT"
"233","17.996725","1.5.1","host","USB","35","0200300000000000","","URB_INTERRUPT"
"235","18.156710","1.5.1","host","USB","35","0200000000000000","","URB_INTERRUPT"
"237","18.220810","1.5.1","host","USB","35","0000000000000000","","URB_INTERRUPT"
"239","19.466921","1.5.2","host","USB","35","020000ff0f000000","","URB_INTERRUPT"
"241","19.482912","1.5.2","host","USB","35","020000ff0f000000","","URB_INTERRUPT"
"243","19.490890","1.5.2","host","USB","35","020000fe0f000000","","URB_INTERRUPT"
"245","19.498901","1.5.2","host","USB","35","020000fd0f000000","","URB_INTERRUPT"
"247","19.506886","1.5.2","host","USB","35","020000fd0f000000","","URB_INTERRUPT"
"249","19.516905","1.5.2","host","USB","35","020000fc0f000000","","URB_INTERRUPT"
"251","19.524892","1.5.2","host","USB","35","020000fa3f000000","","URB_INTERRUPT"
"253","19.532892","1.5.2","host","USB","35","020000fd1f000000","","URB_INTERRUPT"
"255","19.540891","1.5.2","host","USB","35","020000f90f000000","","URB_INTERRUPT"
"257","19.548892","1.5.2","host","USB","35","020000fd0f000000","","URB_INTERRUPT"
"259","19.556891","1.5.2","host","USB","35","020000fc1f000000","","URB_INTERRUPT"
"261","19.564896","1.5.2","host","USB","35","020000fd1f000000","","URB_INTERRUPT"
"263","19.572892","1.5.2","host","USB","35","020000fa1f000000","","URB_INTERRUPT"
"265","19.580891","1.5.2","host","USB","35","020000ff1f000000","","URB_INTERRUPT"
"267","19.588890","1.5.2","host","USB","35","020000fd0f000000","","URB_INTERRUPT"
"269","19.596891","1.5.2","host","USB","35","020000fb0f000000","","URB_INTERRUPT"
"271","19.606904","1.5.2","host","USB","35","020000fd3f000000","","URB_INTERRUPT"
"273","19.614881","1.5.2","host","USB","35","020000fa0f000000","","URB_INTERRUPT"
"275","19.622895","1.5.2","host","USB","35","020000fc0f000000","","URB_INTERRUPT"
"277","19.630889","1.5.2","host","USB","35","020000fc1f000000","","URB_INTERRUPT"
"279","19.638886","1.5.2","host","USB","35","020000fa0f000000","","URB_INTERRUPT"
"281","19.646884","1.5.2","host","USB","35","020000fd1f000000","","URB_INTERRUPT"
"283","19.656910","1.5.2","host","USB","35","020000fc1f000000","","URB_INTERRUPT"
"285","19.664901","1.5.2","host","USB","35","020000fd1f000000","","URB_INTERRUPT"
"287","19.672893","1.5.2","host","USB","35","020000fd1f000000","","URB_INTERRUPT"
"289","19.680901","1.5.2","host","USB","35","020000fe1f000000","","URB_INTERRUPT"
"291","19.688891","1.5.2","host","USB","35","020000fd0f000000","","URB_INTERRUPT"
"293","19.696894","1.5.2","host","USB","35","020000fd0f000000","","URB_INTERRUPT"
"295","19.706903","1.5.2","host","USB","35","020000fe1f000000","","URB_INTERRUPT"
"297","19.714895","1.5.2","host","USB","35","020000fd0f000000","","URB_INTERRUPT"
"299","19.722889","1.5.2","host","USB","35","020000fd0f000000","","URB_INTERRUPT"
"301","19.730899","1.5.2","host","USB","35","020000fa0f000000","","URB_INTERRUPT"
"303","19.738892","1.5.2","host","USB","35","020000fd0f000000","","URB_INTERRUPT"
"305","19.746886","1.5.2","host","USB","35","020000fd0f000000","","URB_INTERRUPT"
"307","19.756911","1.5.2","host","USB","35","020000fc0f000000","","URB_INTERRUPT"
"309","19.764899","1.5.2","host","USB","35","020000fd0f000000","","URB_INTERRUPT"
"311","19.772888","1.5.2","host","USB","35","020000fa0f000000","","URB_INTERRUPT"
"313","19.780903","1.5.2","host","USB","35","020000fb0f000000","","URB_INTERRUPT"
"315","19.788891","1.5.2","host","USB","35","020000f90f000000","","URB_INTERRUPT"
"317","19.796899","1.5.2","host","USB","35","020000f60f000000","","URB_INTERRUPT"
"319","19.804891","1.5.2","host","USB","35","020000f40f000000","","URB_INTERRUPT"
"321","19.814892","1.5.2","host","USB","35","020000f6ffff0000","","URB_INTERRUPT"
"323","19.822893","1.5.2","host","USB","35","020000f9efff0000","","URB_INTERRUPT"
"325","19.830892","1.5.2","host","USB","35","020000f6efff0000","","URB_INTERRUPT"
"327","19.838888","1.5.2","host","USB","35","020000f6cfff0000","","URB_INTERRUPT"
"329","19.846886","1.5.2","host","USB","35","020000f6bfff0000","","URB_INTERRUPT"
"331","19.856947","1.5.2","host","USB","35","020000f8bfff0000","","URB_INTERRUPT"
"333","19.864903","1.5.2","host","USB","35","020000f9bfff0000","","URB_INTERRUPT"
"335","19.872891","1.5.2","host","USB","35","020000f89fff0000","","URB_INTERRUPT"
"337","19.880885","1.5.2","host","USB","35","020000f8bfff0000","","URB_INTERRUPT"
"339","19.888894","1.5.2","host","USB","35","020000f9afff0000","","URB_INTERRUPT"
"341","19.896886","1.5.2","host","USB","35","020000f59fff0000","","URB_INTERRUPT"
"343","19.904872","1.5.2","host","USB","35","020000facfff0000","","URB_INTERRUPT"
"345","19.914866","1.5.2","host","USB","35","020000f99fff0000","","URB_INTERRUPT"
"347","19.922863","1.5.2","host","USB","35","020000f77fff0000","","URB_INTERRUPT"
"349","19.930869","1.5.2","host","USB","35","020000fa9fff0000","","URB_INTERRUPT"
"351","19.938866","1.5.2","host","USB","35","020000faafff0000","","URB_INTERRUPT"
"353","19.946869","1.5.2","host","USB","35","020000fa9fff0000","","URB_INTERRUPT"
"355","19.954887","1.5.2","host","USB","35","020000fa9fff0000","","URB_INTERRUPT"
"357","19.964908","1.5.2","host","USB","35","020000faafff0000","","URB_INTERRUPT"
"359","19.972889","1.5.2","host","USB","35","020000fcbfff0000","","URB_INTERRUPT"
"361","19.980890","1.5.2","host","USB","35","020000fcbfff0000","","URB_INTERRUPT"
"363","19.988900","1.5.2","host","USB","35","020000feefff0000","","URB_INTERRUPT"
"365","19.996886","1.5.2","host","USB","35","020000feafff0000","","URB_INTERRUPT"
"367","20.004892","1.5.2","host","USB","35","020000fddfff0000","","URB_INTERRUPT"
"369","20.012910","1.5.2","host","USB","35","020000ffdfff0000","","URB_INTERRUPT"
"371","20.020889","1.5.2","host","USB","35","020000feffff0000","","URB_INTERRUPT"
"373","20.028889","1.5.2","host","USB","35","020000ffefff0000","","URB_INTERRUPT"
"375","20.412909","1.5.2","host","USB","35","0201000000000000","","URB_INTERRUPT"
"377","20.534762","1.5.2","host","USB","35","0200000000000000","","URB_INTERRUPT"
"379","20.796899","1.5.1","host","USB","35","0000140000000000","","URB_INTERRUPT"
